TEAM_NAME,PACE,OFF_EFF_ORtg,DEF_EFF_DRtg
Hollinger Stats - Offensive Efficiency,Hollinger Stats - Offensive Efficiency,Hollinger Stats - Offensive Efficiency,Hollinger Stats - Offensive Efficiency
Denver,100.9,120.3,115.2
Boston,97.4,118.3,112.0
New York,101.3,118.2,113.2
Oklahoma City,102.6,117.0,104.2
Houston,98.8,116.8,110.6
Minnesota,103.2,115.9,109.7
LA Lakers,99.9,114.8,114.4
San Antonio,102.7,114.6,109.4
Cleveland,103.0,114.6,111.9
Detroit,103.2,113.2,107.5
LA Clippers,97.4,113.1,114.4
Charlotte,100.2,112.7,114.9
Philadelphia,101.0,112.5,110.4
Phoenix,101.7,112.4,109.8
Golden State,102.2,112.3,110.7
Orlando,102.4,112.3,111.7
Atlanta,105.0,112.2,112.2
Utah,103.1,112.1,120.1
Milwaukee,100.7,112.1,113.1
Chicago,104.5,111.9,114.7
Toronto,100.2,111.1,110.1
Miami,107.2,111.1,109.5
Portland,104.3,110.5,113.7
New Orleans,103.7,109.8,116.9
Memphis,104.1,109.3,111.6
Brooklyn,98.3,108.6,114.2
Washington,104.1,108.2,118.0
Dallas,102.9,107.1,110.9
Sacramento,101.4,107.0,116.7
Indiana,102.1,107.0,114.0
